terminal_id,tanggal,jumlah_kontainer,NON MITA,MITA,HIJAU,MERAH,KUNING,NON,BORDER,POST-BORDER,BORDER_POST-BORDER,lartas N,lartas Y,lartas NA,KARANTINA TUMBUHAN,KARANTINA HEWAN,KARANTINA IKAN,PRENO,NON_PRENO,avg_dt
JICT,2018-01-01,536,176,360,517,1,18,46,490,0,0,28,508,456,65,12,3,103,433,4.95
JICT,2018-01-02,866,726,140,706,61,99,371,495,0,0,264,602,715,91,1,59,140,726,5.24
JICT,2018-01-03,1571,1122,449,1475,37,59,443,1128,0,0,318,1253,1443,43,3,82,354,1217,4.67
JICT,2018-01-04,1608,1121,487,1423,85,100,510,1098,0,0,369,1239,1582,12,14,0,739,869,4.28
JICT,2018-01-05,2032,1598,434,1680,219,133,870,1161,0,1,604,1428,1910,105,9,8,1062,970,4.79
JICT,2018-01-06,1515,1218,297,1260,115,140,730,785,0,0,487,1028,1446,56,1,12,827,688,4.08
JICT,2018-01-07,2234,1575,659,2054,88,92,738,1496,0,0,500,1734,1960,243,10,21,745,1489,3.76
JICT,2018-01-08,902,697,205,827,33,42,267,632,0,3,197,705,804,88,10,0,354,548,3.46
JICT,2018-01-09,1290,1147,143,1139,62,89,436,854,0,0,316,974,1151,122,5,12,798,492,2.64
JICT,2018-01-10,459,363,96,400,32,27,242,217,0,0,157,302,442,16,1,0,258,201,3.04
JICT,2018-01-11,2525,1764,761,2212,89,224,1002,1523,0,0,707,1818,2407,98,13,7,1331,1194,3.08
JICT,2018-01-12,676,557,119,545,76,55,296,379,0,1,223,453,614,56,2,4,365,311,4.17
JICT,2018-01-13,1867,1374,493,1573,162,132,703,1163,1,0,523,1344,1744,80,32,11,709,1158,4.11
JICT,2018-01-14,2107,1351,756,1879,188,40,556,1551,0,0,444,1663,1799,254,46,8,413,1694,4.40
JICT,2018-01-15,761,381,380,737,17,7,164,593,0,4,119,642,649,94,17,1,179,582,3.07
JICT,2018-01-16,1538,1283,255,1416,58,64,510,1028,0,0,358,1180,1504,24,1,9,856,682,2.13
JICT,2018-01-17,1774,1331,443,1631,94,49,738,1036,0,0,437,1337,1736,22,16,0,890,884,2.61
JICT,2018-01-18,2106,1429,677,1867,80,159,666,1425,1,14,447,1659,2035,32,39,0,987,1119,2.90
JICT,2018-01-19,1284,961,323,1137,75,72,510,774,0,0,353,931,1233,43,8,0,603,681,3.37
JICT,2018-01-20,3473,2814,659,2988,263,222,1334,2136,3,0,950,2523,3348,103,21,1,1530,1943,3.77
JICT,2018-01-21,1575,711,864,1503,42,30,394,1179,1,1,265,1310,1418,131,25,1,213,1362,3.13
JICT,2018-01-22,493,359,134,428,43,22,280,213,0,0,163,330,470,23,0,0,113,380,3.21
JICT,2018-01-23,2051,1628,423,1764,157,130,787,1254,8,2,567,1484,1970,57,14,10,833,1218,2.82
JICT,2018-01-24,1591,1041,550,1452,72,67,375,1194,21,1,307,1284,1512,45,32,2,751,840,2.57
JICT,2018-01-25,3233,2423,810,2850,273,110,1012,2059,125,37,876,2357,3174,38,20,1,1311,1922,3.38
JICT,2018-01-26,2946,2452,494,2499,263,184,1178,1640,58,70,928,2018,2731,201,14,0,1387,1559,3.63
JICT,2018-01-27,1577,1112,465,1365,160,52,541,983,14,39,429,1148,1492,76,6,3,718,859,3.40
JICT,2018-01-28,1630,1123,507,1460,123,47,516,1082,3,29,323,1307,1368,239,20,3,644,986,2.95
JICT,2018-01-29,200,170,30,193,1,6,101,76,0,23,65,135,199,1,0,0,121,79,1.24
JICT,2018-01-30,297,228,69,251,20,26,122,164,10,1,105,192,297,0,0,0,39,258,2.60
JICT,2018-01-31,1381,875,506,1178,140,63,583,631,127,40,543,838,1311,40,29,1,436,945,3.30
JICT,2018-02-01,2774,2221,553,2346,296,132,1151,925,637,61,1529,1245,2580,150,12,32,1069,1705,3.36
JICT,2018-02-02,804,572,232,698,79,27,300,283,195,26,433,371,693,98,13,0,333,471,3.42
JICT,2018-02-03,711,618,93,613,76,22,413,144,143,11,479,232,688,20,2,1,201,510,4.62
JICT,2018-02-05,136,112,24,123,1,12,60,35,41,0,91,45,113,10,1,12,86,50,2.00
JICT,2018-02-06,1926,1459,467,1762,93,71,786,517,620,3,1155,771,1875,44,0,7,1167,759,2.17
JICT,2018-02-07,925,484,441,859,45,21,208,446,166,105,320,605,746,144,32,3,354,571,2.49
JICT,2018-02-08,2959,2374,585,2569,183,207,1089,907,953,10,1718,1241,2699,216,28,16,1015,1944,3.51
JICT,2018-02-09,1596,1170,426,1421,108,67,638,569,366,23,797,799,1508,78,9,1,637,959,3.79
JICT,2018-02-10,2489,1907,582,2268,151,70,760,1066,609,54,1185,1304,2204,210,75,0,889,1600,4.09
JICT,2018-02-11,1561,1023,538,1330,129,102,620,426,502,13,963,598,1453,85,7,16,265,1296,3.78
JICT,2018-02-12,1688,1405,283,1448,160,80,775,187,690,36,1251,437,1586,66,36,0,543,1145,2.71
JICT,2018-02-13,1195,1014,181,1075,58,62,501,289,400,5,818,377,1128,64,2,1,612,583,3.04
JICT,2018-02-14,1930,1325,605,1776,99,55,601,835,384,110,848,1082,1717,132,81,0,719,1211,2.89
JICT,2018-02-15,1726,1479,247,1462,154,110,831,295,598,2,1270,456,1687,26,3,10,769,957,4.55
JICT,2018-02-16,2791,2126,665,2494,200,97,955,898,855,83,1526,1265,2554,230,6,1,661,2130,4.29
JICT,2018-02-17,2033,1656,377,1805,134,94,785,424,813,11,1439,594,1922,94,12,5,439,1594,4.28
JICT,2018-02-18,2228,1371,857,2091,57,80,586,1031,543,68,908,1320,1828,345,53,2,489,1739,3.19
JICT,2018-02-19,765,586,179,580,130,55,408,86,270,1,583,182,742,20,3,0,183,582,3.88
JICT,2018-02-20,2506,1757,749,2092,281,133,974,977,511,44,1202,1304,2291,158,10,47,801,1705,3.08
JICT,2018-02-21,1318,995,323,1206,60,52,581,441,292,4,747,571,1285,23,5,5,487,831,3.82
JICT,2018-02-22,2272,1847,425,1996,151,125,850,865,469,88,1081,1191,1839,330,51,52,860,1412,3.14
JICT,2018-02-23,2140,1753,387,1864,186,90,1035,251,854,0,1596,544,2018,96,19,7,1172,968,3.65
JICT,2018-02-24,3685,3011,674,3343,272,70,1251,1367,1017,50,1949,1736,3241,364,64,16,1442,2243,3.89
JICT,2018-02-25,1676,1376,300,1523,104,49,425,293,932,26,1250,426,1556,100,18,2,347,1329,3.20
JICT,2018-02-26,2561,1501,1060,2343,150,68,804,880,815,62,1399,1162,2200,288,50,23,522,2039,3.15
JICT,2018-02-27,901,674,227,777,75,49,472,105,321,3,644,257,844,55,1,1,350,551,3.76
JICT,2018-02-28,1760,1089,671,1617,99,44,575,675,419,91,862,898,1578,146,21,15,1026,734,2.13
JICT,2018-03-01,2171,1660,511,1940,177,54,513,557,1085,16,1460,711,2047,103,14,7,1397,774,2.30
JICT,2018-03-02,194,113,81,173,16,5,85,20,89,0,159,35,188,6,0,0,162,32,1.92
JICT,2018-03-03,1626,1326,300,1465,134,27,510,502,578,36,919,707,1497,104,25,0,852,774,2.98
JICT,2018-03-04,1617,1042,575,1485,57,75,603,540,405,69,716,901,1366,176,74,1,322,1295,2.41
JICT,2018-03-05,1051,581,470,991,34,26,229,601,190,31,326,725,777,233,41,0,158,893,2.21
JICT,2018-03-06,1018,780,238,899,102,17,505,111,385,17,680,338,967,30,14,7,536,482,2.36
JICT,2018-03-07,1174,906,268,1038,103,33,280,450,245,199,474,700,828,268,63,15,439,735,2.09
JICT,2018-03-08,1781,1319,462,1618,59,104,615,727,383,56,748,1033,1564,182,34,1,799,982,2.31
JICT,2018-03-09,1775,1268,507,1585,134,56,677,696,351,51,743,1032,1624,102,13,36,1285,490,2.42
JICT,2018-03-10,1755,1201,554,1517,206,32,556,835,348,16,747,1008,1586,140,10,19,1016,739,3.07
JICT,2018-03-11,2638,1750,888,2355,241,42,622,1207,765,44,1208,1430,2177,381,44,36,561,2077,3.67
JICT,2018-03-12,1176,727,449,1061,78,37,391,556,221,8,528,648,1159,13,3,1,566,610,2.03
JICT,2018-03-13,1635,1285,350,1493,81,61,566,204,833,32,1187,448,1491,101,11,32,518,1117,2.66
JICT,2018-03-14,2142,1172,970,2012,92,38,574,1133,321,114,763,1379,1867,198,49,28,856,1286,2.06
JICT,2018-03-15,2367,1610,757,2171,74,122,833,1043,428,63,977,1390,1919,399,49,0,995,1372,2.80
JICT,2018-03-16,1511,1320,191,1289,156,66,575,212,723,1,1166,345,1350,53,23,85,870,641,3.77
JICT,2018-03-17,33,33,0,33,0,0,5,0,28,0,33,0,33,0,0,0,31,2,3.27
JICT,2018-03-18,2734,1931,803,2408,192,134,741,899,994,100,1516,1218,2304,279,53,98,423,2311,2.94
JICT,2018-03-19,699,581,118,572,73,54,405,96,196,2,498,201,678,4,5,12,72,627,3.23
JICT,2018-03-20,1187,930,257,1027,118,42,543,264,354,26,691,496,1139,47,0,1,528,659,1.82
